Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 14:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441198";"EQUIPE GASTAO DE OLIVEIRA II";"eSF";"7";"2";"1";"23";"17";"1000";"50";"20,00"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441252";"EQUIPE TAQUARAL";"eSF";"0";"0";"1";"17";"8";"520";"29";"17,90"
"9191801";"UNIDADE BASICA DE SAUDE JARDIM DOS ESTADOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547852";"EQUIPE JARDIM DOS ESTADOS";"eSF";"22";"4";"2";"49";"22";"1980";"83";"23,90"
"2558726";"UNIDADE BASICA DE SAUDE POPULAR VELHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441171";"EQUIPE POPULAR VELHA";"eSF";"13";"1";"1";"29";"25";"1380";"60";"23,00"
"2376121";"UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441090";"EQUIPE ERNESTO SASSIDA";"eSF";"7";"4";"3";"13";"12";"780";"34";"22,90"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002452758";"ESF SIMONE PONTES MAIA FLORES";"eSF";"1";"0";"0";"31";"28";"1200";"65";"18,50"
"6590209";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441317";"EQUIPE PEDRO PAULO DE BARROS I";"eSF";"4";"2";"1";"5";"2";"280";"19";"14,70"
"7320108";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484516";"PEDRO PAULO II";"eSF";"5";"6";"5";"10";"16";"840";"29";"29,00"
"0148636";"UNIDADE BASICA DE SAUDE DR BONIFACIO TIKAYOSHI TIAEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002059045";"EQUIPE BONIFACIO TIAEN";"eSF";"4";"2";"0";"16";"18";"800";"25";"32,00"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441236";"EQ. LUCIA M. P. DE CARVALHO II";"eSF";"13";"0";"1";"61";"26";"2020";"102";"19,80"
"2376512";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441139";"EQUIPE ENIO CUNHA";"eSF";"23";"11";"11";"42";"11";"1960";"62";"31,60"
"0456462";"UNIDADE BASICA DE SAUDE DR WALTER VICTORIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441112";"EQUIPE WALTER VICTORIO";"eSF";"18";"5";"3";"39";"27";"1840";"68";"27,10"
"2536676";"UNIDADE BASICA DE SAUDE ROSIMEIRE DOS SANTOS AJALA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441155";"EQUIPE BEIRA RIO";"eSF";"2";"0";"0";"18";"12";"640";"33";"19,40"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547518";"EQUIPE ALBUQUERQUE";"eSF";"4";"0";"1";"10";"7";"440";"20";"22,00"
"3043770";"UNIDADE BASICA DE SAUDE JOAO FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441279";"EQUIPE JOAO FERNANDES";"eSF";"15";"3";"5";"29";"16";"1360";"56";"24,30"
"2536684";"UNIDADE BASICA DE SAUDE NOVA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441163";"EQUIPE NOVA CORUMBA";"eSF";"12";"6";"6";"31";"8";"1260";"60";"21,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441082";"EQUIPE BRENO I";"eSF";"3";"0";"0";"38";"18";"1180";"57";"20,70"
"2676796";"UNIDADE BASICA DE SAUDE SAO BARTOLOMEU";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441260";"EQUIPE SAO BARTOLOMEU";"eSF";"12";"0";"0";"46";"18";"1520";"72";"21,10"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
