Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 15 de outubro de 2025 - 08:16h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Tratamento Restaurador Atraumático na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES ATRAUMÁTICOS (ART) REALIZADOS;NÚMERO TOTAL DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES REALIZADOS;PONTUAÇÃO
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924680";"ESB - 58 SAUDE BUCAL";"eSB";"126";"355";"35,50"
"2710838";"UBS ITAHUM ALTAIR RAMIRES DE SOUZA DONA NEGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054132";"ESB - 201 SAUDE BUCAL";"eSB";"26";"307";"8,50"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054175";"ESB - 204 SAUDE BUCAL";"eSB";"52";"314";"16,60"
"2711079";"UBS JARDIM PIRATININGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924583";"ESB - 24 SAUDE BUCAL";"eSB";"26";"56";"46,40"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001841696";"ESB - 21 SAUDE BUCAL";"eSB";"87";"270";"32,20"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909509";"ESB - 19 SAUDE BUCAL";"eSB";"62";"407";"15,20"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052113";"ESB - 14 SAUDE BUCAL";"eSB";"2";"18";"11,10"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842242";"ESB 23 - HORTELA";"eSB";"76";"326";"23,30"
"2710811";"UBS INDAPOLIS VEREADOR FREDERICO BERNARDO FRITZ HOLTERMANN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054159";"ESB - 203 SAUDE BUCAL";"eSB";"28";"329";"8,50"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909924";"ESB - 48 SAUDE BUCAL";"eSB";"67";"459";"14,60"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054019";"ESB - 43 SAUDE BUCAL";"eSB";"61";"260";"23,50"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053942";"ESB - 41 SAUDE BUCAL";"eSB";"75";"195";"38,50"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053918";"ESB - 40 SAUDE BUCAL";"eSB";"0";"223";"0,00"
"2710986";"UBS PANAMBI E SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842846";"ESB - 202 SAUDE BUCAL";"eSB";"18";"263";"6,80"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835777";"ESB - 55 SAUDE BUCAL";"eSB";"23";"142";"16,20"
"2711168";"UBS PARQUE DAS NACOES I OTAVIA VITORINO SERRANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842447";"ESB - 20 SAUDE BUCAL";"eSB";"0";"540";"0,00"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910043";"ESB - 47 SAUDE BUCAL";"eSB";"11";"150";"7,30"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001816276";"ESB 17 - IPE";"eSB";"43";"592";"7,30"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054094";"ESB - 56 SAUDE BUCAL";"eSB";"17";"214";"7,90"
"5592615";"UBS NOVO HORIZONTE DR JOAQUIM LOURENCO FILHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052164";"ESB - 16 SAUDE BUCAL";"eSB";"10";"237";"4,20"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909436";"ESB - 18 SAUDE BUCAL";"eSB";"34";"416";"8,20"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052121";"ESB - 15 SAUDE BUCAL";"eSB";"118";"346";"34,10"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001980386";"ESB 62 - CARANDA";"eSB";"41";"416";"9,90"
"3768074";"UBS VILA VIEIRA AUX ENF ELIS RENY DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909576";"ESB - 33 SAUDE BUCAL";"eSB";"3";"427";"0,70"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0002449919";"ESB 60- IPE AMARELO";"eSB";"7";"584";"1,20"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909819";"ESB - 50 SAUDE BUCAL";"eSB";"9";"321";"2,80"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052229";"ESB 34 - DO LAGO";"eSB";"1";"319";"0,30"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0002278723";"ESB 59 - IPE ROSA";"eSB";"4";"510";"0,80"
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001834878";"ESB - 45 SAUDE BUCAL";"eSB";"58";"249";"23,30"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052245";"ESB - 35 SAUDE BUCAL";"eSB";"6";"173";"3,50"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052202";"ESB - 31 SAUDE BUCAL";"eSB";"1";"254";"0,40"
"6803628";"UBS CHACARA DOS CAIUAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053950";"ESB - 42 SAUDE BUCAL";"eSB";"64";"386";"16,60"
"2711133";"UBS CACHOEIRINHA RAMAO VIEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052105";"ESB - 13 SAUDE BUCAL";"eSB";"7";"485";"1,40"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
