Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:21h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439339";"EQUIPE VERMELHA";"eSF";"267";"169";"320";"235";"24775";"395";"62,70"
"0010227";"SESAU USF 26 DE AGOSTO JAIR GARCIA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439215";"EQUIPE VERMELHA";"eSF";"303";"84";"576";"400";"34075";"817";"41,70"
"9983406";"SESAU USF ARNALDO ESTEVAO DE FIGUEIREDO DR EDGAR PEDRO R S";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717375";"EQUIPE ENIR BEZERRA";"eSF";"93";"60";"121";"88";"9050";"186";"48,70"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001672924";"EQUIPE RUBI";"eSF";"142";"32";"135";"89";"9950";"170";"58,50"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001706543";"EQUIPE GIRASSOL";"eSF";"237";"107";"277";"179";"20000";"326";"61,30"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440426";"EQUIPE IPE ROSA";"eSF";"252";"88";"274";"195";"20225";"315";"64,20"
"9013415";"SESAU USF JARDIM PARADISO PEDRO FELIX DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001678469";"EQUIPE SAO FRANCISCO";"eSF";"276";"121";"352";"252";"25025";"499";"50,20"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482378";"EQUIPE SAO TOME";"eSF";"136";"55";"115";"97";"10075";"192";"52,50"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440663";"EQUIPE DINAMARCA";"eSF";"275";"47";"256";"197";"19375";"375";"51,70"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439320";"EQUIPE VERDE";"eSF";"310";"194";"395";"263";"29050";"440";"66,00"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439681";"EQUIPE FENIX";"eSF";"410";"183";"641";"416";"41250";"819";"50,40"
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439444";"EQUIPE ORQUIDEA";"eSF";"261";"157";"314";"183";"22875";"383";"59,70"
"9898271";"SESAU USF DOM ANTONIO BARBOSA DR EVANDRO M DE ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717383";"EQUIPE GIRASSOL";"eSF";"60";"1";"59";"40";"4000";"76";"52,60"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644408";"EQUIPE LUMIAR";"eSF";"254";"161";"243";"195";"21325";"320";"66,60"
"3051374";"SESAU USF JARDIM AZALEIA DRA ALDA GUEDES GARCIA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644769";"EQUIPE 183";"eSF";"222";"144";"290";"183";"20975";"318";"66,00"
"0010227";"SESAU USF 26 DE AGOSTO JAIR GARCIA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439207";"EQUIPE AZUL";"eSF";"344";"58";"668";"470";"38500";"1016";"37,90"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439568";"EQUIPE VERDE";"eSF";"332";"135";"434";"320";"30525";"619";"49,30"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002252171";"EQUIPE GIRASSOL";"eSF";"207";"65";"239";"143";"16350";"249";"65,70"
"0024481";"SESAU USF NOVA BAHIA CONSELHEIRO DE SAUDE EDNEY A DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644521";"EQUIPE AZUL";"eSF";"250";"141";"307";"227";"23125";"436";"53,00"
"0021660";"SESAU USF AGUAO MANOEL CORDEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001478400";"EQUIPE LEAO";"eSF";"99";"21";"94";"56";"6750";"120";"56,30"
"0010189";"SESAU USF LAR DO TRABALHADOR DR NICOLAU FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002343347";"EQUIPE VERMELHA EAP 02";"eAP";"183";"68";"329";"249";"25350";"514";"49,30"
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482467";"EQUIPE TULIPA";"eSF";"467";"281";"551";"435";"43350";"809";"53,60"
"0010367";"SESAU USF PIONEIRA DR CELSO LACERDA DE AZEVEDO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439509";"EQUIPE LIRIO";"eSF";"142";"94";"148";"141";"13125";"288";"45,60"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440736";"EQUIPE AREA AMARELA";"eSF";"121";"62";"118";"103";"10100";"189";"53,40"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440612";"EQUIPE AZUL";"eSF";"235";"141";"269";"186";"20775";"343";"60,60"
"3311260";"SESAU USF SAO CONRADO PASTOR ELISEU FEITOSA DE ALENCAR";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440299";"EQUIPE AMARELO";"eSF";"151";"68";"156";"121";"12400";"213";"58,20"
"0028827";"SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001674218";"EQUIPE VERDE";"eSF";"390";"154";"443";"295";"32050";"535";"59,90"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440183";"EQUIPE MARRON";"eSF";"245";"22";"306";"219";"19800";"352";"56,30"
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439193";"EQUIPE VERMELHA";"eSF";"114";"45";"114";"78";"8775";"153";"57,40"
"9898271";"SESAU USF DOM ANTONIO BARBOSA DR EVANDRO M DE ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001686798";"EQUIPE ROSA";"eSF";"200";"8";"227";"143";"14450";"251";"57,60"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439991";"EQUIPE ACQUA";"eSF";"390";"194";"477";"328";"34725";"551";"63,00"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644513";"EQUIPE JACQUES";"eSF";"285";"156";"392";"245";"26950";"447";"60,30"
"0024481";"SESAU USF NOVA BAHIA CONSELHEIRO DE SAUDE EDNEY A DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439878";"EQUIPE VERDE";"eSF";"331";"183";"457";"321";"32300";"635";"50,90"
"0024449";"SESAU USF AERO RANCHO DR SEBASTIAO ELOY PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439754";"EQUIPE IPE";"eSF";"360";"80";"445";"293";"29450";"560";"52,60"
"0024449";"SESAU USF AERO RANCHO DR SEBASTIAO ELOY PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439738";"EQUIPE AROEIRA";"eSF";"482";"125";"592";"431";"40750";"845";"48,20"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440604";"EQUIPE VERMELHA";"eSF";"298";"172";"324";"235";"25725";"429";"60,00"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440167";"EQUIPE AZUL";"eSF";"235";"34";"191";"169";"15725";"299";"52,60"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440051";"EQUIPE FLORES DO CERRADO";"eSF";"216";"84";"221";"135";"16400";"256";"64,10"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440175";"EQUIPE VERMELHA";"eSF";"225";"35";"265";"160";"17125";"301";"56,90"
"0010162";"SESAU USF BURITI DR IVAN HIDELBRAND DA COSTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439061";"EQUIPE PITANGUEIRA";"eSF";"456";"59";"655";"398";"39200";"686";"57,10"
"0010200";"SESAU USF JARDIM BONANCA DR HIROSE ADANIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439185";"EQUIPE PANDA";"eSF";"300";"177";"476";"314";"31675";"519";"61,00"
"0010235";"SESAU USF VILA NASSER DR MILTON KOJO CHINEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001672274";"EQUIPE AZUL";"eSF";"216";"145";"232";"180";"19325";"348";"55,50"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439983";"EQUIPE TUIUIU";"eSF";"299";"84";"332";"249";"24100";"445";"54,20"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001557955";"EQUIPE AZUL";"eSF";"281";"162";"340";"225";"25200";"423";"59,60"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644505";"EQUIPE FOGO";"eSF";"274";"115";"245";"178";"20300";"327";"62,10"
"0024449";"SESAU USF AERO RANCHO DR SEBASTIAO ELOY PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439746";"EQUIPE JACARANDA";"eSF";"436";"91";"472";"364";"34075";"675";"50,50"
"0021652";"SESAU USF ROCHEDINHO DR ROGER BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001605178";"EQUIPE FAZENDINHA";"eSF";"44";"34";"38";"21";"3425";"48";"71,40"
"9022007";"SESAU USF ANA MARIA DO COUTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644742";"EQUIPE DETERMINACAO";"eSF";"238";"126";"373";"295";"25800";"514";"50,20"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439649";"EQUIPE CAMPINA VERDE";"eSF";"250";"134";"324";"192";"22500";"374";"60,20"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482688";"EQUIPE ALFA";"eSF";"385";"133";"703";"435";"41400";"845";"49,00"
"5672368";"SESAU USF JARDIM SEMINARIO MESTRE JOSE ALBERTO VERONESE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440515";"EQUIPE SEMINARIO";"eSF";"331";"129";"469";"278";"30175";"526";"57,40"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440752";"EQUIPE AZUL";"eSF";"124";"6";"170";"110";"10250";"211";"48,60"
"0028827";"SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001508326";"EQUIPE AMARELO";"eSF";"119";"67";"123";"70";"9475";"151";"62,70"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440078";"EQUIPE BEIJA FLOR";"eSF";"215";"40";"192";"122";"14225";"280";"50,80"
"0010189";"SESAU USF LAR DO TRABALHADOR DR NICOLAU FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439096";"EQUIPE ROSA";"eSF";"248";"118";"493";"337";"29900";"690";"43,30"
"3023737";"SESAU USF VILA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440086";"EQUIPE YPE ROSA";"eSF";"306";"65";"455";"353";"29475";"676";"43,60"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439770";"EQUIPE ITATIAIA";"eSF";"342";"46";"307";"252";"23675";"513";"46,20"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001573853";"EQUIPE FENIX";"eSF";"226";"140";"161";"168";"17375";"288";"60,30"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001667939";"EQUIPE PARQUE DOS GIRASSOIS";"eSF";"122";"19";"104";"81";"8150";"160";"50,90"
"9230246";"SESAU USF SIRIO LIBANES DR SYRZIL WILSON MAKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644858";"EQUIPE CERRADO";"eSF";"330";"185";"450";"299";"31600";"545";"58,00"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439533";"EQUIPE ORQUIDEA";"eSF";"227";"21";"254";"153";"16375";"294";"55,70"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439894";"EQUIPE MARIA OLIVEIRA";"eSF";"231";"134";"160";"177";"17550";"331";"53,00"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001705814";"EQUIPE MANDACARU";"eSF";"310";"133";"374";"254";"26775";"441";"60,70"
"0301825";"SESAU USF AERO RANCHO GRANJA DRA REGIA JUSSARA F DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002127350";"EQUIPE OMEGA";"eSF";"189";"53";"283";"196";"18025";"369";"48,80"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439657";"EQUIPE CPACA";"eSF";"113";"36";"75";"81";"7625";"160";"47,70"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644734";"EQUIPE AMARELA";"eSF";"268";"42";"331";"211";"21300";"363";"58,70"
"0010332";"SESAU USF SAO FRANCISCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001644971";"EQUIPE ALPHA";"eSF";"252";"153";"199";"208";"20300";"336";"60,40"
"0010367";"SESAU USF PIONEIRA DR CELSO LACERDA DE AZEVEDO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439517";"EQUIPE GIRASSOL";"eSF";"356";"205";"383";"331";"31875";"617";"51,70"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482335";"EQUIPE VERDE";"eSF";"158";"13";"212";"137";"13000";"246";"52,80"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482459";"EQUIPE BARUERI";"eSF";"336";"153";"463";"300";"31300";"532";"58,80"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440620";"EQUIPE LILAS";"eSF";"176";"101";"198";"135";"15250";"238";"64,10"
"0010154";"SESAU USF CARLOTA DR ASTROGILDO CARMONA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482696";"EQUIPE ARARA AZUL";"eSF";"190";"95";"604";"406";"32375";"833";"38,90"
"7108044";"SESAU USF VILA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440744";"EQUIPE CARVALHO CENTRO";"eSF";"216";"69";"447";"287";"25475";"516";"49,40"
"0010189";"SESAU USF LAR DO TRABALHADOR DR NICOLAU FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002343339";"EQUIPE VERMELHA EAP 01";"eAP";"162";"77";"312";"240";"24150";"487";"49,60"
"0010170";"SESAU USF VILA POPULAR DR VESPASIANO BARBOSA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439088";"EQUIPE FENIX";"eSF";"126";"64";"141";"83";"10350";"174";"59,50"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440191";"EQUIPE AZUL";"eSF";"258";"16";"307";"235";"20400";"370";"55,10"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717340";"EQUIPE ARARA AZUL";"eSF";"160";"93";"145";"112";"12750";"202";"63,10"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439401";"EQUIPE ROSA";"eSF";"265";"163";"285";"214";"23175";"402";"57,60"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001667947";"EQUIPE ANTONIO JOAO ESCOBAR";"eSF";"184";"37";"221";"139";"14525";"256";"56,70"
"0010308";"SESAU USF JOCKEY CLUB DR JORGE DAVID NASSER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439762";"EQUIPE IPE AMARELO";"eSF";"584";"95";"808";"594";"52025";"1225";"42,50"
