Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:04h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441198";"EQUIPE GASTAO DE OLIVEIRA II";"eSF";"97";"99";"127";"74";"86";"0";"8365";"144";"58,10"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441252";"EQUIPE TAQUARAL";"eSF";"42";"63";"111";"75";"18";"1";"5415";"112";"48,30"
"9191801";"UNIDADE BASICA DE SAUDE JARDIM DOS ESTADOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547852";"EQUIPE JARDIM DOS ESTADOS";"eSF";"71";"57";"115";"71";"45";"0";"6315";"122";"51,80"
"2558726";"UNIDADE BASICA DE SAUDE POPULAR VELHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441171";"EQUIPE POPULAR VELHA";"eSF";"43";"54";"84";"9";"14";"0";"3695";"85";"43,50"
"2376121";"UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441090";"EQUIPE ERNESTO SASSIDA";"eSF";"105";"80";"92";"83";"61";"0";"7300";"123";"59,30"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002452758";"ESF SIMONE PONTES MAIA FLORES";"eSF";"57";"56";"64";"45";"14";"0";"4145";"80";"51,80"
"6590209";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441317";"EQUIPE PEDRO PAULO DE BARROS I";"eSF";"54";"51";"70";"28";"46";"0";"4355";"84";"51,80"
"7320108";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484516";"PEDRO PAULO II";"eSF";"57";"48";"76";"62";"56";"0";"5150";"84";"61,30"
"0148636";"UNIDADE BASICA DE SAUDE DR BONIFACIO TIKAYOSHI TIAEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002059045";"EQUIPE BONIFACIO TIAEN";"eSF";"21";"16";"23";"18";"7";"0";"1495";"25";"59,80"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441236";"EQ. LUCIA M. P. DE CARVALHO II";"eSF";"92";"82";"117";"81";"8";"1";"6760";"130";"52,00"
"2376512";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441139";"EQUIPE ENIO CUNHA";"eSF";"108";"117";"164";"136";"81";"0";"10450";"168";"62,20"
"0456462";"UNIDADE BASICA DE SAUDE DR WALTER VICTORIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441112";"EQUIPE WALTER VICTORIO";"eSF";"91";"87";"118";"102";"64";"0";"7975";"124";"64,30"
"2536676";"UNIDADE BASICA DE SAUDE ROSIMEIRE DOS SANTOS AJALA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441155";"EQUIPE BEIRA RIO";"eSF";"50";"42";"63";"44";"29";"0";"3985";"86";"46,30"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547518";"EQUIPE ALBUQUERQUE";"eSF";"35";"45";"41";"25";"21";"0";"2885";"51";"56,60"
"3043770";"UNIDADE BASICA DE SAUDE JOAO FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441279";"EQUIPE JOAO FERNANDES";"eSF";"76";"70";"88";"71";"26";"0";"5785";"92";"62,90"
"2536684";"UNIDADE BASICA DE SAUDE NOVA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441163";"EQUIPE NOVA CORUMBA";"eSF";"102";"72";"154";"35";"82";"0";"7955";"158";"50,30"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441082";"EQUIPE BRENO I";"eSF";"68";"65";"104";"74";"50";"0";"6275";"108";"58,10"
"2676796";"UNIDADE BASICA DE SAUDE SAO BARTOLOMEU";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441260";"EQUIPE SAO BARTOLOMEU";"eSF";"70";"62";"82";"68";"61";"0";"5905";"89";"66,30"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
