Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 08:43h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Taxa de exodontias na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE EXODONTIAS REALIZADAS;NÚMERO DE TOTAL DE PROCEDIMENTOS INDIVIDUAIS PREVENTIVOS, CURATIVOS E EXODONTIAS REALIZADAS;PONTUAÇÃO
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750585";"EQUIPE ESMERALDA - ESB";"eSB";"2";"141";"1,40"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744100";"EQUIPE ESTRELA PARK - ESB";"eSB";"15";"823";"1,80"
"9898271";"SESAU USF DOM ANTONIO BARBOSA DR EVANDRO M DE ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001912046";"EQUIPE VIOLETA - ESB";"eSB";"11";"177";"6,20"
"9983406";"SESAU USF ARNALDO ESTEVAO DE FIGUEIREDO DR EDGAR PEDRO R S";"CENTRO DE SAUDE/UNIDADE BASICA";"0001911872";"EQUIPE ENIR BEZERRA - ESB";"eSB";"21";"700";"3,00"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744585";"EQUIPE PQ DOS GIRASSOIS - ESB";"eSB";"46";"1052";"4,40"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744216";"EQUIPE DOURADA - ESB";"eSB";"6";"234";"2,60"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747207";"EQUIPE AZUL - ESB";"eSB";"21";"844";"2,50"
"0024449";"SESAU USF AERO RANCHO DR SEBASTIAO ELOY PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744615";"EQUIPE AROEIRA - ESB";"eSB";"46";"534";"8,60"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718878";"EQUIPE IPE AMARELO - ESB";"eSB";"24";"598";"4,00"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755587";"EQUIPE ASPIRANTE - ESB";"eSB";"0";"149";"0,00"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756311";"EQUIPE ARARA AZUL - ESB";"eSB";"26";"542";"4,80"
"9439919";"SESAU USF VILA COX";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729896";"EQUIPE ROSA - ESB";"eSB";"41";"1946";"2,10"
"3361837";"SESAU USF SAO BENEDITO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750097";"EQUIPE SAO BENEDITO - ESB";"eSB";"29";"705";"4,10"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750372";"EQUIPE AMARELA - ESB";"eSB";"7";"1184";"0,60"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749668";"EQUIPE ORQUIDEA - ESB";"eSB";"31";"664";"4,70"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744097";"EQUIPE TRES BARRAS - ESB";"eSB";"19";"1236";"1,50"
"0021652";"SESAU USF ROCHEDINHO DR ROGER BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747800";"EQUIPE FAZENDINHA - ESB";"eSB";"8";"183";"4,40"
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0001725335";"EQUIPE LIRIO - ESB";"eSB";"129";"1966";"6,60"
"0028827";"SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724002";"EQUIPE ROSA - ESB";"eSB";"55";"449";"12,20"
"0010138";"SESAU USF SILVIA REGINA DRA ELEONORA M QUEVEDO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744135";"EQUIPE LUA - ESB";"eSB";"11";"720";"1,50"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744801";"EQUIPE GUNTER HANS - ESB";"eSB";"60";"922";"6,50"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740687";"EQUIPE SOL - ESB";"eSB";"25";"1405";"1,80"
"0010332";"SESAU USF SAO FRANCISCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743716";"EQUIPE FENIX - ESB";"eSB";"115";"1598";"7,20"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747878";"EQUIPE VERMELHA - ESB";"eSB";"42";"1557";"2,70"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749935";"EQUIPE GIRASSOL - ESB";"eSB";"42";"580";"7,20"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755390";"EQUIPE ROXA - ESB";"eSB";"40";"1807";"2,20"
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001745735";"EQUIPE AZUL - ESB";"eSB";"47";"1438";"3,30"
"0021660";"SESAU USF AGUAO MANOEL CORDEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756001";"EQUIPE LEAO - ESB";"eSB";"90";"1424";"6,30"
"0021679";"SESAU USF TRES BARRAS DRA MARIA JOSE DE PAULI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756486";"EQUIPE ACACIA - ESB";"eSB";"6";"123";"4,90"
"3311260";"SESAU USF SAO CONRADO PASTOR ELISEU FEITOSA DE ALENCAR";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750488";"EQUIPE VERDE - ESB";"eSB";"23";"474";"4,90"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755552";"EQUIPE JOAO DE BARRO - ESB";"eSB";"6";"248";"2,40"
"9013415";"SESAU USF JARDIM PARADISO PEDRO FELIX DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750089";"EQUIPE PARADISO - ESB";"eSB";"69";"798";"8,60"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730479";"EQUIPE AREA LILAS - ESB";"eSB";"52";"665";"7,80"
"9022007";"SESAU USF ANA MARIA DO COUTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728458";"EQUIPE FORCA E GRACA - ESB";"eSB";"26";"2423";"1,10"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756249";"EQUIPE IPE ROXO - ESB";"eSB";"34";"738";"4,60"
"9898271";"SESAU USF DOM ANTONIO BARBOSA DR EVANDRO M DE ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001734679";"EQUIPE ROSA - ESB";"eSB";"24";"696";"3,40"
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755838";"EQUIPE AZUL - ESB";"eSB";"3";"165";"1,80"
"3023737";"SESAU USF VILA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729705";"EQUIPE YPE ROSA - ESB";"eSB";"1";"582";"0,20"
"0024422";"SESAU USF SANTA CARMELIA DR ALBINO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728857";"EQUIPE TAQUARI - ESB";"eSB";"51";"930";"5,50"
"0010138";"SESAU USF SILVIA REGINA DRA ELEONORA M QUEVEDO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744089";"EQUIPE ESTRELA ESB";"eSB";"51";"726";"7,00"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743791";"EQUIPE VIDA NOVA - ESB";"eSB";"68";"1002";"6,80"
"5672368";"SESAU USF JARDIM SEMINARIO MESTRE JOSE ALBERTO VERONESE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001748688";"EQUIPE SEMINARIO - ESB";"eSB";"52";"1474";"3,50"
"9983406";"SESAU USF ARNALDO ESTEVAO DE FIGUEIREDO DR EDGAR PEDRO R S";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729780";"EQUIPE SONIA REGINA - ESB";"eSB";"4";"567";"0,70"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743554";"EQUIPE VERMELHA - ESB";"eSB";"56";"1585";"3,50"
"0028827";"SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001727362";"EQUIPE AZUL - ESB";"eSB";"26";"1414";"1,80"
"7108044";"SESAU USF VILA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001723715";"EQUIPE CARVALHO CENTRO - ESB";"eSB";"36";"561";"6,40"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744755";"EQUIPE EGITO - ESB";"eSB";"78";"2206";"3,50"
"3311260";"SESAU USF SAO CONRADO PASTOR ELISEU FEITOSA DE ALENCAR";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750518";"EQUIPE AZUL - ESB";"eSB";"30";"580";"5,20"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744879";"EQUIPE AGUIA - ESB";"eSB";"48";"911";"5,30"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755285";"EQUIPE VERDE - ESB";"eSB";"74";"1233";"6,00"
"3051374";"SESAU USF JARDIM AZALEIA DRA ALDA GUEDES GARCIA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754750";"EQUIPE 0130 - ESB";"eSB";"31";"1060";"2,90"
"9230246";"SESAU USF SIRIO LIBANES DR SYRZIL WILSON MAKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0002164531";"EQUIPE CERRADO - ESB";"eSB";"46";"1211";"3,80"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756257";"EQUIPE POR DO SOL - ESB";"eSB";"28";"663";"4,20"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755129";"EQUIPE JOAO DE BARRO - ESB";"eSB";"89";"1285";"6,90"
"0024481";"SESAU USF NOVA BAHIA CONSELHEIRO DE SAUDE EDNEY A DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753347";"EQUIPE VERDE - ESB";"eSB";"31";"1615";"1,90"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730703";"EQUIPE AMARELO - ESB";"eSB";"37";"788";"4,70"
"3334406";"SESAU USF NOVA ESPERANCA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753509";"EQUIPE PARATI - ESB";"eSB";"177";"975";"18,20"
"0010308";"SESAU USF JOCKEY CLUB DR JORGE DAVID NASSER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744038";"EQUIPE IPE AMARELO - ESB";"eSB";"116";"2591";"4,50"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744313";"EQUIPE GIRASSOL - ESB";"eSB";"35";"1200";"2,90"
"0010367";"SESAU USF PIONEIRA DR CELSO LACERDA DE AZEVEDO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743740";"EQUIPE GIRASSOL - ESB";"eSB";"83";"1035";"8,00"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744399";"EQUIPE POETA - ESB";"eSB";"104";"1050";"9,90"
"0010332";"SESAU USF SAO FRANCISCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743732";"EQUIPE AGUIA - ESB";"eSB";"72";"1408";"5,10"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744666";"EQUIPE CAMPINA VERDE - ESB";"eSB";"99";"1585";"6,20"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755250";"EQUIPE MORENA - ESB";"eSB";"37";"923";"4,00"
"3051358";"SESAU USF MARIO COVAS DR WAGNER JORGE BORTOTTO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750429";"EQUIPE AZUL - ESB";"eSB";"65";"515";"12,60"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744429";"EQUIPE JACQUES - ESB";"eSB";"29";"667";"4,30"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744704";"EQUIPE FLORA DO CERRADO - ESB";"eSB";"31";"684";"4,50"
