Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 10:07h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Taxa de exodontias na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE EXODONTIAS REALIZADAS;NÚMERO DE TOTAL DE PROCEDIMENTOS INDIVIDUAIS PREVENTIVOS, CURATIVOS E EXODONTIAS REALIZADAS;PONTUAÇÃO
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924680";"ESB - 58 SAUDE BUCAL";"eSB";"30";"1268";"2,40"
"2710838";"UBS ITAHUM ALTAIR RAMIRES DE SOUZA DONA NEGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054132";"ESB - 201 SAUDE BUCAL";"eSB";"108";"939";"11,50"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054175";"ESB - 204 SAUDE BUCAL";"eSB";"103";"1458";"7,10"
"2711079";"UBS JARDIM PIRATININGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924583";"ESB - 24 SAUDE BUCAL";"eSB";"33";"443";"7,40"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001841696";"ESB - 21 SAUDE BUCAL";"eSB";"86";"695";"12,40"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909509";"ESB - 19 SAUDE BUCAL";"eSB";"146";"1445";"10,10"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052113";"ESB - 14 SAUDE BUCAL";"eSB";"2";"39";"5,10"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842242";"ESB 23 - HORTELA";"eSB";"154";"1063";"14,50"
"2710811";"UBS INDAPOLIS VEREADOR FREDERICO BERNARDO FRITZ HOLTERMANN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054159";"ESB - 203 SAUDE BUCAL";"eSB";"99";"625";"15,80"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909924";"ESB - 48 SAUDE BUCAL";"eSB";"123";"1563";"7,90"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054019";"ESB - 43 SAUDE BUCAL";"eSB";"93";"1318";"7,10"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053942";"ESB - 41 SAUDE BUCAL";"eSB";"30";"423";"7,10"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053918";"ESB - 40 SAUDE BUCAL";"eSB";"59";"949";"6,20"
"2710986";"UBS PANAMBI E SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842846";"ESB - 202 SAUDE BUCAL";"eSB";"51";"548";"9,30"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835777";"ESB - 55 SAUDE BUCAL";"eSB";"40";"470";"8,50"
"2711168";"UBS PARQUE DAS NACOES I OTAVIA VITORINO SERRANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842447";"ESB - 20 SAUDE BUCAL";"eSB";"41";"1415";"2,90"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910043";"ESB - 47 SAUDE BUCAL";"eSB";"85";"603";"14,10"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001816276";"ESB 17 - IPE";"eSB";"166";"1302";"12,70"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054094";"ESB - 56 SAUDE BUCAL";"eSB";"56";"644";"8,70"
"5592615";"UBS NOVO HORIZONTE DR JOAQUIM LOURENCO FILHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052164";"ESB - 16 SAUDE BUCAL";"eSB";"140";"1334";"10,50"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909436";"ESB - 18 SAUDE BUCAL";"eSB";"106";"730";"14,50"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052121";"ESB - 15 SAUDE BUCAL";"eSB";"87";"1212";"7,20"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001980386";"ESB 62 - CARANDA";"eSB";"109";"1442";"7,60"
"3768074";"UBS VILA VIEIRA AUX ENF ELIS RENY DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909576";"ESB - 33 SAUDE BUCAL";"eSB";"87";"1492";"5,80"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0002449919";"ESB 60- IPE AMARELO";"eSB";"161";"1747";"9,20"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909819";"ESB - 50 SAUDE BUCAL";"eSB";"47";"1325";"3,50"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052229";"ESB 34 - DO LAGO";"eSB";"101";"876";"11,50"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0002278723";"ESB 59 - IPE ROSA";"eSB";"138";"1306";"10,60"
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001834878";"ESB - 45 SAUDE BUCAL";"eSB";"91";"875";"10,40"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052245";"ESB - 35 SAUDE BUCAL";"eSB";"58";"948";"6,10"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052202";"ESB - 31 SAUDE BUCAL";"eSB";"56";"1806";"3,10"
"6803628";"UBS CHACARA DOS CAIUAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053950";"ESB - 42 SAUDE BUCAL";"eSB";"171";"1601";"10,70"
"2711133";"UBS CACHOEIRINHA RAMAO VIEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052105";"ESB - 13 SAUDE BUCAL";"eSB";"103";"1632";"6,30"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
